"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2,J1";"CONN_SD-105313-100_05_MOL";2;"1053131105";;;
2;"REF**,REF**";"PinHeader_2x10_P2.54mm_Vertical";2;"PinHeader_2x10_P2.54mm_Vertical";;;
3;"U6";"DBV0006A_L";1;"TPS61165DBV";;;
4;"C13,C12,C17,C36,C16,C35,C20,C18,C11,C14,C9,C19,C7,C15,C29,C30,C10,C8";"CAP_1206_B_WAL";18;"0.1uF";;;
5;"L3";"IND_TAIYO_LBR2012_TAY";1;"10uH";;;
6;"R11,R10,R9,R12";"RES_YC248_4X1P6_YAG";4;"YC248-JR-07330RL";;;
7;"J3";"CONN40_CF3140_CVI";1;"Conn_01x40_Socket";;;
8;"C31,C25,C27,C33";"CL1206_SAM";4;"22uF";;;
9;"C23,C21,C22,C28,C24,C26,C5,C32,C3,C34";"CAP_CL31_SAM";10;"10uF";;;
10;"REF**,REF**,REF**,REF**";"PinHeader_1x05_P1.00mm_Vertical";4;"PinHeader_1x05_P1.00mm_Vertical";;;
11;"C1,C2";"CAP_CL31_SAM";2;"22pF";;;
12;"R6,R4";"RC1206N_YAG";2;"4.7k";;;
13;"U7,U5";"SOT95P280X110-6N";2;"TPS562201";;;
14;"FB1,FB,FB4,FB2";"FERRITE_0603_1P6XP8_MUR";4;"BLM18RK601SN1D";;;
15;"L1";"IND_TAIYO_LB3218_TAY";1;"3.3uH";;;
16;",,,,";"";5;"";;;
17;"C6,C4";"CAP_CL31_SAM";2;"10nF";;;
18;"U3";"QFP50P1600X1600X120-101N";1;"~";;;
19;"REF**";"PinHeader_1x03_P2.54mm_Vertical";1;"PinHeader_1x03_P2.54mm_Vertical";;;
20;"C37,C39";"CAP_CL31_SAM";2;"4.7uF";;;
21;"R8";"RES_CSRT1206FT5R00_STP";1;"5Ω";;;
22;"R2";"STA_RMCF1206_STP";1;"15k";;;
23;"REF**";"Mini HDMI breakout";1;"MULTICOMP_60S019P-301N-B1-FEC";;;
24;"8MHz";"ABLS-8.000MHZ-B2-T_ABR";1;"8MHz";;;
25;"R1";"STA_RMCF1206_STP";1;"120 ohm";;;
26;"R5";"RC1206N_YAG";1;"33k";;;
27;"R7";"RC1206N_YAG";1;"6.8k";;;
28;"U2";"SOIC8_4P9X3P9MC_MCH";1;"MCP2542FD-E/SN";;;
29;"U1";"SOIC14_150MIL_SL_MCH";1;"MCP2518FDT-H/SL";;;
30;"C38";"CAP_CL31_SAM";1;"220nF";;;
31;"R3";"RESC3115X65N";1;"470";;;
32;"L2";"IND_TAIYO_LB3218_TAY";1;"4.7uH";;;
33;"D1";"SOD-123_ONS";1;"MBR0540";;;
34;"REF**";"PinHeader_2x20_P2.54mm_Vertical";1;"PinHeader_2x20_P2.54mm_Vertical";;;
